Time,Raw_dBFS,S21_dB,S21_Gaussian,S21_Gauss_SavGol,OBJ,Height
1.03907,-36.7298,-38.3498,-38.3924,-38.3933,NO,1.25
1.09476,-36.8052,-38.4252,-38.392,-38.3946,NO,1.25
1.15093,-36.7606,-38.3806,-38.3921,-38.396,NO,1.25
1.20659,-36.8125,-38.4325,-38.3924,-38.3972,NO,1.25
1.26218,-36.7187,-38.3387,-38.3941,-38.3982,NO,1.25
1.31851,-36.7542,-38.3742,-38.3983,-38.3989,NO,1.25
1.37415,-36.8334,-38.4534,-38.4032,-38.3994,NO,1.25
1.43086,-36.7773,-38.3973,-38.4056,-38.4,NO,1.25
1.4867,-36.839,-38.459,-38.4041,-38.4007,NO,1.25
1.54269,-36.7298,-38.3498,-38.4011,-38.4012,NO,1.25
1.59942,-36.7457,-38.3657,-38.3998,-38.4012,NO,1.25
1.65568,-36.8136,-38.4336,-38.4008,-38.4006,NO,1.25
1.71178,-36.7731,-38.3931,-38.4016,-38.3997,NO,1.25
1.76791,-36.8451,-38.4651,-38.3998,-38.3986,NO,1.25
1.82378,-36.7163,-38.3363,-38.3965,-38.3974,NO,1.25
1.88011,-36.758,-38.378,-38.3939,-38.3958,NO,1.25
1.93685,-36.8003,-38.4203,-38.3928,-38.394,NO,1.25
1.99136,-36.756,-38.376,-38.3916,-38.3924,NO,1.25
2.04728,-36.8329,-38.4529,-38.3892,-38.3909,NO,1.25
2.10198,-36.6941,-38.3141,-38.3872,-38.3896,NO,1.25
2.15763,-36.7556,-38.3756,-38.3874,-38.388,NO,1.25
2.21351,-36.7959,-38.4159,-38.3889,-38.3861,NO,1.25
2.26945,-36.7734,-38.3934,-38.3884,-38.3841,NO,1.25
2.32604,-36.8319,-38.4519,-38.3843,-38.3821,NO,1.25
2.38041,-36.6863,-38.3063,-38.3791,-38.3803,NO,1.25
2.43607,-36.7209,-38.3409,-38.3764,-38.3783,NO,1.25
2.49195,-36.7914,-38.4114,-38.3765,-38.3762,NO,1.25
2.54849,-36.7621,-38.3821,-38.3761,-38.374,NO,1.25
2.6033,-36.8122,-38.4322,-38.3727,-38.3719,NO,1.25
2.65882,-36.6823,-38.3023,-38.3679,-38.37,NO,1.25
2.71443,-36.7244,-38.3444,-38.365,-38.3681,NO,1.25
2.7701,-36.7641,-38.3841,-38.365,-38.3665,NO,1.25
