Time,S21_dB,Phase_Deg,S21_Gauss_SavGol,Phase_Gauss_SavGol,Background_dB,Background_Phase,Anomaly,OBJ,Height
0.302418,0.0300229,357.778,0.0238446,445.161,0.0238446,445.161,0,NO,1.25
0.320354,0.0222442,438.872,0.0239204,437.47,0.0238825,441.315,0,NO,1.25
0.341778,0.02089,343.879,0.0239267,435.27,0.0238972,439.3,0,NO,1.25
0.360743,0.021226,462.071,0.0237935,437.012,0.0238713,438.728,0,NO,1.25
0.378189,0.0256521,356.896,0.0234737,440.939,0.0237918,439.17,0,NO,1.25
0.400117,0.0237894,379.392,0.0229864,445.713,0.0236575,440.261,0,NO,1.25
0.418782,0.0180771,361.754,0.0224013,450.719,0.0234781,441.755,0,NO,1.25
0.435304,0.0306634,537.737,0.0217825,455.806,0.0232661,443.511,0,NO,1.25
0.451926,0.0201802,606.535,0.0211512,460.624,0.0230311,445.413,0,NO,1.25
0.468856,0.0171355,452.83,0.0204764,464.222,0.0227757,447.294,0,NO,1.25
0.485403,0.017464,418.261,0.0196796,465.449,0.0224942,448.944,0,NO,1.25
0.502087,0.0209637,532.986,0.0186615,463.711,0.0221748,450.175,0,NO,1.25
0.518722,0.0366464,550.232,0.0173435,459.015,0.0218032,450.855,0,NO,1.25
0.535152,-0.015954,515.368,0.015704,451.108,0.0213675,450.873,0,NO,1.25
0.551918,0.0272729,418.658,0.0138048,438.766,0.0208633,450.066,0,NO,1.25
0.568445,0.00917365,314.279,0.0117597,420.246,0.0202944,448.202,0,NO,1.25
0.585077,0.0293789,333.566,0.00965625,394.557,0.0196686,445.046,0,NO,1.25
0.601578,-0.0191027,392.577,0.00751632,362.258,0.0189935,440.447,0,NO,1.25
0.618329,0.0422182,323.06,0.00535071,325.007,0.0182754,434.371,0,NO,1.25
0.635164,-0.00462846,278.057,0.00321888,284.653,0.0175226,426.885,0,NO,1.25
0.651956,-0.0329248,284.338,0.00123337,242.994,0.0167469,418.129,0,NO,1.25
0.66855,0.0297557,376.358,-0.000484491,202.107,0.0159637,408.309,0,NO,1.25
0.684977,-0.00438258,308.452,-0.00184668,164.351,0.0151893,397.703,0,NO,1.25
0.702384,-0.0494328,144.814,-0.0027833,131.915,0.0144404,386.628,0,NO,1.25
0.718966,0.0385637,-9.18372,-0.00318976,106.494,0.0137352,375.423,0,NO,1.25
0.735279,0.00523722,-115.661,-0.00293918,89.2551,0.0130939,364.416,0,NO,1.25
0.751829,-0.03125,-75.9912,-0.00198307,80.6083,0.0125355,353.905,0,NO,1.25
0.768188,-0.00943303,61.0539,-0.000415822,79.8012,0.012073,344.115,0,NO,1.25
0.784401,0.0241896,37.7462,0.00156929,85.085,0.0117108,335.183,0,NO,1.25
0.802259,-0.022125,-20.9253,0.00377156,94.7851,0.0114461,327.17,0,NO,1.25
0.818723,0.0158697,104.076,0.00606578,108.29,0.0112726,320.109,0,NO,1.25
0.836473,0.0197756,188.901,0.00841611,125.703,0.0111833,314.034,0,NO,1.25
0.852915,-0.00338969,181.284,0.0108154,146.353,0.0111721,308.953,0,NO,1.25
0.869499,0.00895563,244.607,0.0132053,167.805,0.0112319,304.802,0,NO,1.25
0.885662,0.0481377,337.974,0.0154589,186.546,0.0113527,301.423,0,NO,1.25
0.902475,0.012887,398.856,0.0174062,199.726,0.0115209,298.598,0,NO,1.25
0.919676,0.00938652,266.171,0.0189007,206.394,0.0117203,296.106,0,NO,1.25
0.936499,0.0316565,92.8915,0.0199164,207.369,0.011936,293.771,0,NO,1.25
0.952917,-0.00906573,-23.5763,0.0205786,204.236,0.0121576,291.475,0,NO,1.25
0.969501,0.0476165,135.524,0.0210694,198.568,0.0123804,289.152,0,NO,1.25
0.986111,-0.000528572,248.683,0.021495,191.804,0.0126027,286.778,0,NO,1.25
1.00271,0.05555,291.817,0.0218425,185.444,0.0128227,284.365,0,NO,1.25
1.01958,0.0154743,114.285,0.0220406,181.054,0.0130371,281.963,0,NO,1.25
1.03595,0.00937365,195.539,0.0220576,179.92,0.0132421,279.643,0,NO,1.25
1.05224,0.0332291,65.0103,0.0219309,182.33,0.0134352,277.481,0,NO,1.25
1.06887,-0.0154883,229.104,0.0217026,186.813,0.0136149,275.51,0,NO,1.25
1.08536,0.0487043,148.699,0.0213652,190.041,0.0137798,273.691,0,NO,1.25
1.10199,0.00318716,257.966,0.0208926,187.948,0.013928,271.905,0,NO,1.25
1.11849,0.0526894,143.703,0.020309,177.534,0.0140582,269.979,0,NO,1.25
1.13509,0.0144887,264.078,0.0196888,157.991,0.0141708,267.739,0,NO,1.25
1.1519,0.0203002,132.994,0.0190938,130.162,0.0142674,265.042,0,NO,1.25
1.16862,0.0276147,144.229,0.0185112,95.0678,0.014349,261.773,0,NO,1.25
1.1852,-0.0223248,143.125,0.0178462,53.0204,0.0144149,257.834,0,NO,1.25
1.20195,0.043022,110.555,0.0169712,4.08017,0.0144623,253.135,0,NO,1.25
1.21838,0.00566915,-15.4692,0.0158144,-50.9249,0.0144869,247.607,0,NO,1.25
1.23508,0.0116539,-119.759,0.0144214,-109.869,0.0144857,241.223,0,NO,1.25
1.25164,0.0332034,-229.331,0.0129483,-169.627,0.0144587,234.015,0,NO,1.25
1.26814,-0.00900896,-295.845,0.01159,-226.812,0.0144093,226.07,0,NO,1.25
1.28468,0.0280592,-337.943,0.0104889,-278.518,0.0143428,217.518,0,NO,1.25
1.30124,0.0238031,-329.732,0.00967069,-322.879,0.014265,208.511,0,NO,1.25
1.3176,-0.0228995,-410.217,0.009043,-359.369,0.0141793,199.202,0,NO,1.25
1.33425,0.0178541,-467.87,0.00848509,-388.663,0.0140875,189.72,0,NO,1.25
1.3509,0.0199144,-533.659,0.00797335,-412.12,0.0139905,180.167,0,NO,1.25
1.3675,-0.0245477,-421.966,0.00761518,-431.293,0.0138908,170.613,0,NO,1.25
1.38395,0.0219108,-519.469,0.00753403,-447.971,0.013793,161.096,0,NO,1.25
1.40051,0.0208908,-402.432,0.00772452,-464.508,0.0137011,151.617,0,NO,1.25
1.41689,-0.0194179,-415.608,0.0080654,-483.814,0.013617,142.133,0,NO,1.25
1.43348,0.0216271,-407.499,0.00845447,-508.692,0.0135411,132.562,0,NO,1.25
1.44813,0.0229076,-426.43,0.00887362,-541.075,0.0134734,122.799,0,NO,1.25
1.46193,-0.0171446,-466.249,0.00932451,-581.781,0.0134141,112.734,0,NO,1.25
1.47612,0.0422661,-626.946,0.00980317,-630.864,0.0133633,102.261,0,NO,1.25
1.48964,-0.0193946,-727.909,0.0103492,-687.987,0.0133214,91.2852,0,NO,1.25
