Time,Raw_dBFS,S21_dB,S21_Gaussian,S21_SavGol,Baseline,Diff_dB,Detect_Flag,Minima_Flag,OBJ,Height
0.47462,1.00605,-0.793947,-0.688047,-0.675334,0,0.675334,0,0,MINE_TEST,1.25
0.500242,1.06174,-0.738255,-0.641195,-0.664087,0,0.664087,0,0,MINE_TEST,1.25
0.526491,1.41109,-0.388911,-0.597007,-0.6539,0,0.6539,0,0,MINE_TEST,1.25
0.552148,1.31638,-0.483615,-0.574284,-0.645152,0,0.645152,0,0,MINE_TEST,1.25
0.578434,1.26374,-0.536259,-0.581371,-0.637738,0,0.637738,0,0,MINE_TEST,1.25
0.604189,1.20085,-0.599154,-0.610851,-0.630979,0,0.630979,0,0,MINE_TEST,1.25
0.630064,1.11758,-0.682418,-0.645227,-0.624597,0,0.624597,0,0,MINE_TEST,1.25
0.65608,1.06087,-0.739132,-0.666814,-0.619527,0,0.619527,0,0,MINE_TEST,1.25
0.681968,1.01778,-0.782219,-0.667131,-0.617261,0,0.617261,0,0,MINE_TEST,1.25
0.707875,1.11157,-0.688431,-0.651325,-0.618212,0,0.618212,0,0,MINE_TEST,1.25
0.733897,1.36014,-0.43986,-0.632926,-0.620798,0,0.620798,0,0,MINE_TEST,1.25
0.759724,1.21242,-0.587577,-0.620436,-0.622263,0,0.622263,0,0,MINE_TEST,1.25
0.785349,1.08847,-0.71153,-0.610438,-0.620526,0,0.620526,0,0,MINE_TEST,1.25
0.81074,1.00116,-0.79884,-0.597045,-0.615411,0,0.615411,0,0,MINE_TEST,1.25
0.836963,1.4613,-0.338698,-0.584503,-0.608289,0,0.608289,0,0,MINE_TEST,1.25
0.863014,1.31122,-0.488777,-0.583244,-0.600864,0,0.600864,0,0,MINE_TEST,1.25
0.888975,1.19539,-0.604613,-0.593869,-0.594443,0,0.594443,0,0,MINE_TEST,1.25
0.914806,1.08253,-0.717475,-0.602918,-0.589987,0,0.589987,0,0,MINE_TEST,1.25
0.940426,1.00055,-0.799455,-0.598223,-0.587985,0,0.587985,0,0,MINE_TEST,1.25
0.966572,1.38013,-0.419871,-0.584295,-0.58797,0,0.58797,0,0,MINE_TEST,1.25
0.993016,1.35999,-0.440013,-0.577338,-0.588687,0,0.588687,0,0,MINE_TEST,1.25
1.02112,1.241,-0.558999,-0.585924,-0.589247,0,0.589247,0,0,MINE_TEST,1.25
1.04721,1.1335,-0.666505,-0.600926,-0.589837,0,0.589837,0,0,MINE_TEST,1.25
1.07344,1.05092,-0.749084,-0.606189,-0.590857,0,0.590857,0,0,MINE_TEST,1.25
1.09971,1.10919,-0.690814,-0.59712,-0.591796,0,0.591796,0,0,MINE_TEST,1.25
1.1255,1.45361,-0.346391,-0.584843,-0.591695,0,0.591695,0,0,MINE_TEST,1.25
1.15147,1.27555,-0.524448,-0.581927,-0.590681,0,0.590681,0,0,MINE_TEST,1.25
1.17736,1.14879,-0.65121,-0.587727,-0.590174,0,0.590174,0,0,MINE_TEST,1.25
1.20298,1.05638,-0.743618,-0.592171,-0.591199,0,0.591199,0,0,MINE_TEST,1.25
1.22896,1.22657,-0.573426,-0.590981,-0.593013,-0.600864,0.00785119,0,0,MINE_TEST,1.25
1.25487,1.37465,-0.42535,-0.590153,-0.593982,-0.600864,0.0068814,0,0,MINE_TEST,1.25
1.28136,1.23224,-0.567759,-0.594392,-0.593565,-0.594443,0.000878094,0,0,MINE_TEST,1.25
1.3073,1.09166,-0.708342,-0.598384,-0.592729,-0.594443,0.00171435,0,0,MINE_TEST,1.25
1.33327,1.00187,-0.798131,-0.595303,-0.592417,-0.593982,0.00156583,0,0,MINE_TEST,1.25
1.3596,1.44354,-0.356462,-0.58876,-0.592294,-0.593982,0.00168838,0,0,MINE_TEST,1.25
1.38547,1.29118,-0.508819,-0.588985,-0.591464,-0.593565,0.00210113,0,0,MINE_TEST,1.25
1.41123,1.18586,-0.614136,-0.597306,-0.589871,-0.593565,0.00369335,0,0,MINE_TEST,1.25
1.43713,1.07856,-0.721436,-0.602937,-0.588406,-0.593013,0.00460644,0,0,MINE_TEST,1.25
1.46279,1.01267,-0.787334,-0.597135,-0.587756,-0.593013,0.00525633,0,0,MINE_TEST,1.25
1.48864,1.47026,-0.329742,-0.584775,-0.587843,-0.592729,0.00488575,0,0,MINE_TEST,1.25
1.51434,1.28007,-0.519933,-0.577037,-0.588518,-0.592729,0.00421077,0,0,MINE_TEST,1.25
1.54009,1.16448,-0.63552,-0.577393,-0.590185,-0.592417,0.00223131,0,0,MINE_TEST,1.25
1.56573,1.05746,-0.742537,-0.581447,-0.59327,-0.592729,0.000540986,0,0,MINE_TEST,1.25
1.59148,1.37749,-0.422514,-0.587014,-0.5974,-0.592729,0.00467148,0,0,MINE_TEST,1.25
1.61721,1.27251,-0.527489,-0.596295,-0.601673,-0.593013,0.00866044,0,0,MINE_TEST,1.25
1.6427,1.13793,-0.662074,-0.608004,-0.605626,-0.593013,0.0126129,0,0,MINE_TEST,1.25
1.66853,1.04619,-0.753811,-0.616486,-0.609553,-0.59327,0.0162838,0,0,MINE_TEST,1.25
1.69464,1.20828,-0.591719,-0.619995,-0.613813,-0.59327,0.0205438,0,0,MINE_TEST,1.25
1.72041,1.31488,-0.485117,-0.623395,-0.618094,-0.593565,0.0245294,0,0,MINE_TEST,1.25
1.74614,1.17225,-0.627745,-0.629585,-0.621434,-0.593565,0.0278696,0,0,MINE_TEST,1.25
1.77203,1.06991,-0.730092,-0.633667,-0.622892,-0.593982,0.0289099,0,0,MINE_TEST,1.25
