Time,S11_Raw,S21_Raw,S11_SavGol,S21_SavGol,OBJ,Height
0.0786097,-112.514,-117.402,-112.514,-117.402,NO,1.25
0.128337,-129.796,-121.124,-129.796,-121.124,NO,1.25
0.178143,-124.46,-117.707,-124.46,-117.707,NO,1.25
0.224756,-125.57,-121.672,-125.57,-121.672,NO,1.25
0.271588,-122.805,-113.911,-122.805,-113.911,NO,1.25
0.31898,-116.287,-119.893,-116.287,-119.893,NO,1.25
0.365785,-125.462,-130.625,-125.462,-130.625,NO,1.25
0.413317,-118.469,-118.657,-118.469,-118.657,NO,1.25
0.461313,-128.117,-114.951,-128.117,-114.951,NO,1.25
0.508617,-129.687,-127.537,-129.687,-127.537,NO,1.25
0.556256,-118.431,-124.881,-118.431,-124.881,NO,1.25
0.604205,-117.498,-130.17,-117.498,-130.17,NO,1.25
0.651336,-121.046,-114.106,-121.046,-114.106,NO,1.25
0.699144,-125.206,-123.677,-125.206,-123.677,NO,1.25
0.746906,-120.999,-129.259,-120.999,-129.259,NO,1.25
0.794032,-117.099,-123.392,-117.099,-123.392,NO,1.25
0.840378,-123.037,-119.528,-123.037,-119.528,NO,1.25
0.88724,-119.329,-123.503,-119.329,-123.503,NO,1.25
0.933724,-118.573,-124.36,-118.573,-124.36,NO,1.25
0.980343,-125.033,-117.77,-125.033,-117.77,NO,1.25
1.02611,-122.058,-124.532,-106.108,-106.511,NO,1.25
1.07296,-112.834,-126.031,-105.716,-106.416,NO,1.25
1.11947,-119.641,-130.721,-105.683,-106.582,NO,1.25
1.16562,-115.389,-131.731,-105.625,-106.41,NO,1.25
1.21991,-116.498,-119.607,-105.629,-107.314,NO,1.25
1.26634,-126.98,-144.749,-104.897,-106.216,NO,1.25
1.31314,-117.948,-113.027,-104.252,-107.567,NO,1.25
1.3603,-128.685,-122.582,-103.645,-108.651,NO,1.25
1.40667,-117.942,-114.145,-103.373,-109.284,NO,1.25
1.45298,-121.515,-119.633,-103.495,-108.759,NO,1.25
1.4996,-125.901,-111.545,-103.957,-109.081,NO,1.25
1.54552,-123.796,-121.445,-104.118,-108.412,NO,1.25
1.59289,-120.786,-120.384,-104.164,-108.345,NO,1.25
1.63771,-127.916,-116.414,-103.989,-107.464,NO,1.25
1.68484,-118.657,-119.232,-104.739,-106.959,NO,1.25
1.73204,-117.961,-122.007,-105.104,-106.642,NO,1.25
1.77821,-117.448,-116.424,-105.211,-106.946,NO,1.25
1.82511,-115.614,-137.879,-105.585,-105.434,NO,1.25
1.87236,-117.198,-118.151,-105.68,-105.724,NO,1.25
1.91887,-126.319,-117.73,-105.016,-105.76,NO,1.25
1.96583,-120.219,-120.164,-105.381,-104.944,NO,1.25
2.01122,-118.339,-121.908,-105.874,-104.097,NO,1.25
2.05727,-119.283,-113.153,-105.583,-103.894,NO,1.25
2.10501,-122.174,-134.88,-105.398,-102.824,NO,1.25
2.15097,-126.973,-120.505,-104.793,-103.274,NO,1.25
2.19785,-112.315,-128.596,-104.943,-102.559,NO,1.25
2.25359,-128.873,-118.713,-104.591,-104.771,NO,1.25
2.2994,-122.925,-118.522,-104.147,-104.935,NO,1.25
2.3453,-132.423,-127.867,-103.942,-105.559,NO,1.25
2.39171,-118.51,-116.66,-104.049,-106.251,NO,1.25
2.43613,-120.264,-129.478,-104.246,-106.269,NO,1.25
2.48239,-117.394,-120.533,-104.887,-106.214,NO,1.25
2.52758,-119.291,-129.49,-105.202,-106.138,NO,1.25
2.57323,-124.241,-116.537,-104.999,-106.617,NO,1.25
2.61883,-116.707,-112.943,-105.935,-106.986,NO,1.25
2.66335,-129.258,-119.203,-105.713,-106.694,NO,1.25
2.71025,-122.198,-118.147,-105.764,-106.668,NO,1.25
2.75604,-119.347,-116.828,-106.021,-106.002,NO,1.25
2.80243,-126.283,-127.894,-105.573,-106.195,NO,1.25
2.84694,-122.532,-113.273,-105.659,-106.43,NO,1.25
2.89342,-117.094,-119.324,-106.552,-105.794,NO,1.25
2.94023,-114.695,-123.008,-106.987,-105.207,NO,1.25
2.9853,-117.984,-115.44,-106.672,-105.155,NO,1.25
3.03054,-119.967,-116.559,-106.033,-104.324,NO,1.25
3.07693,-122.226,-127.481,-105.464,-104.259,NO,1.25
3.12204,-115.021,-122.005,-105.612,-103.781,NO,1.25
3.1684,-115.813,-110.537,-104.646,-104.582,NO,1.25
3.21477,-119.201,-116.803,-104.471,-104.11,NO,1.25
3.26312,-116.276,-119.164,-104.142,-103.252,NO,1.25
3.313,-118.421,-123.378,-104.646,-103.136,NO,1.25
3.35822,-118.139,-116.718,-104.447,-102.638,NO,1.25
3.40398,-118.853,-118.49,-104.199,-102.945,NO,1.25
3.4502,-112.138,-117.974,-103.907,-102.946,NO,1.25
