Elapsed Time (s),Frequency (Hz),S11 (dB),S21 (dB),OBJ,Height (m)
0.27534008026123047,2001000000.0,-88.86775278125609,-20.7170552381448,NO,0.0
0.4929463863372803,2001000000.0,-89.18183118573023,-20.717127087357156,NO,0.0
0.7204740047454834,2001000000.0,-88.0141404475294,-20.716903313880877,NO,0.0
0.9551653861999512,2001000000.0,-89.09503658984639,-20.715726436913123,NO,0.0
1.1734635829925537,2001000000.0,-90.96926903449454,-20.7140865673998,NO,0.0
1.396162748336792,2001000000.0,-90.22461653755613,-20.71472420884483,NO,0.0
1.6155955791473389,2001000000.0,-90.59866030164358,-20.713266220048062,NO,0.0
1.8449790477752686,2001000000.0,-86.8885934182552,-20.714556417527664,NO,0.0
2.070744037628174,2001000000.0,-88.99594100707489,-20.71668153003797,NO,0.0
2.297654628753662,2001000000.0,-88.32797983770263,-20.716093741886937,NO,0.0
2.5138869285583496,2001000000.0,-90.31242199386746,-20.7161080188863,NO,0.0
2.737793207168579,2001000000.0,-89.79519272260208,-20.714738128540876,NO,0.0
2.9712026119232178,2001000000.0,-89.74103489102163,-20.712752059984364,NO,0.0
3.1996524333953857,2001000000.0,-87.6891283238276,-20.71577480566318,NO,0.0
3.4162967205047607,2001000000.0,-89.21348457235554,-20.716833657009236,NO,0.0
3.6502840518951416,2001000000.0,-89.89564780773243,-20.713770746896817,NO,0.0
3.8677072525024414,2001000000.0,-90.08086318895755,-20.715691835334297,NO,0.0
4.0926878452301025,2001000000.0,-90.11010524094371,-20.715153867690255,NO,0.0
4.319981575012207,2001000000.0,-89.76837261580539,-20.71507773260909,NO,0.0
4.549515247344971,2001000000.0,-91.59684208939353,-20.713249011766038,NO,0.0
4.767963886260986,2001000000.0,-88.76510522305077,-20.711532049592027,NO,0.0
4.99823784828186,2001000000.0,-88.52394593017098,-20.713674318212632,NO,0.0
5.217034339904785,2001000000.0,-90.39543186069278,-20.71509873230859,NO,0.0
5.442378997802734,2001000000.0,-91.07489382541486,-20.712846329468434,NO,0.0
5.6701500415802,2001000000.0,-89.82056334128332,-20.714853413629672,NO,0.0
5.899230241775513,2001000000.0,-88.54284312172922,-20.713337988072738,NO,0.0
6.117987632751465,2001000000.0,-88.67906961135745,-20.713704087288562,NO,0.0
6.347470760345459,2001000000.0,-89.07179746711455,-20.71307215217463,NO,0.0
6.5648698806762695,2001000000.0,-90.36471010085995,-20.714292380120458,NO,0.0
6.7903056144714355,2001000000.0,-88.84078619600669,-20.71254632187805,NO,0.0
7.0134117603302,2001000000.0,-90.22897173308088,-20.713350051305795,NO,0.0
7.229629755020142,2001000000.0,-88.56121477914857,-20.714344170387893,NO,0.0
7.459797143936157,2001000000.0,-88.70583344195208,-20.716217885284042,NO,0.0
7.678513050079346,2001000000.0,-88.0890275199471,-20.714146879932457,NO,0.0
7.9119343757629395,2001000000.0,-89.44243030465654,-20.714049984669906,NO,0.0
8.142624139785767,2001000000.0,-87.7804500100077,-20.715895005910085,NO,0.0
8.368816375732422,2001000000.0,-88.80161510503635,-20.71387043280073,NO,0.0
8.593001127243042,2001000000.0,-89.16710051060468,-20.714817801810984,NO,0.0
8.818326950073242,2001000000.0,-89.05935797787697,-20.710662930483892,NO,0.0
9.04826021194458,2001000000.0,-89.5268647968123,-20.714493586441375,NO,0.0
9.2815580368042,2001000000.0,-88.71197488468852,-20.713788736176273,NO,0.0
9.513822555541992,2001000000.0,-88.30605986103572,-20.714377874288054,NO,0.0
9.737839698791504,2001000000.0,-91.7440492304984,-20.714122852390283,NO,0.0
9.956054449081421,2001000000.0,-86.5794863118417,-20.711774063099305,NO,0.0
10.179492712020874,2001000000.0,-87.98193502796016,-20.715342201340427,NO,0.0
10.406887531280518,2001000000.0,-88.98693371016023,-20.71171591080633,NO,0.0
10.623662233352661,2001000000.0,-90.37075800426423,-20.715564720523247,NO,0.0
10.855112552642822,2001000000.0,-89.1573829082496,-20.71503139922139,NO,0.0
11.071046113967896,2001000000.0,-88.8369338219561,-20.71353354288682,NO,0.0
11.301203489303589,2001000000.0,-87.97184200662115,-20.713244440682665,NO,0.0
11.517624616622925,2001000000.0,-89.23431874551727,-20.714420429362136,NO,0.0
11.741100311279297,2001000000.0,-88.0429868995278,-20.713915595555438,NO,0.0
11.967755556106567,2001000000.0,-87.24877356982994,-20.712597017631225,NO,0.0
12.192712306976318,2001000000.0,-88.51354559265744,-20.71379823319122,NO,0.0
12.415342092514038,2001000000.0,-89.99169556854721,-20.714396084308877,NO,0.0
12.639448404312134,2001000000.0,-89.28313881145158,-20.71373588595037,NO,0.0
12.865252017974854,2001000000.0,-86.95927374921249,-20.715372135319626,NO,0.0
13.093158960342407,2001000000.0,-90.0232573900516,-20.714796101717784,NO,0.0
13.322725296020508,2001000000.0,-89.48438702539477,-20.712717052132344,NO,0.0
13.557416677474976,2001000000.0,-90.50069712142056,-20.712649376716847,NO,0.0
13.776930570602417,2001000000.0,-89.82672253738669,-20.712474800028208,NO,0.0
13.999423265457153,2001000000.0,-88.22636464291398,-20.715749421665656,NO,0.0
14.237762212753296,2001000000.0,-88.9032738316589,-20.71297095987868,NO,0.0
14.47338318824768,2001000000.0,-88.89503982592593,-20.713196428117186,NO,0.0
14.694073915481567,2001000000.0,-90.28287070027895,-20.712909787797322,NO,0.0
14.914117813110352,2001000000.0,-89.69816216300791,-20.714897414903216,NO,0.0
15.143409729003906,2001000000.0,-88.97636298061298,-20.715475426731796,NO,0.0
15.369461059570312,2001000000.0,-88.76342784835182,-20.717217427472278,NO,0.0
15.601304769515991,2001000000.0,-88.64037934790473,-20.716865921116376,NO,0.0
15.821871042251587,2001000000.0,-89.08631845169526,-20.717230219309926,NO,0.0
16.0512638092041,2001000000.0,-88.54050674925041,-20.718739945663636,NO,0.0
16.284245014190674,2001000000.0,-90.6633312093094,-20.714896137055526,NO,0.0
16.50717520713806,2001000000.0,-89.02989205959186,-20.717727315465318,NO,0.0
16.726308822631836,2001000000.0,-88.13727939065163,-20.715867166606596,NO,0.0
16.95808219909668,2001000000.0,-89.25336386503639,-20.715970137200387,NO,0.0
17.17728328704834,2001000000.0,-89.56580671307235,-20.715341948668346,NO,0.0
17.416691303253174,2001000000.0,-88.92700333340301,-20.71536798147767,NO,0.0
17.6434326171875,2001000000.0,-87.95133925881629,-20.715630362731396,NO,0.0
17.872056484222412,2001000000.0,-90.34874283030027,-20.71459890194925,NO,0.0
18.11391544342041,2001000000.0,-89.70479627507089,-20.714700237817006,NO,0.0
18.332560777664185,2001000000.0,-88.5049890215707,-20.7164797670104,NO,0.0
18.563352823257446,2001000000.0,-89.91717132008276,-20.715513978411657,NO,0.0
18.791926622390747,2001000000.0,-91.21791153511026,-20.713630904968028,NO,0.0
19.025651216506958,2001000000.0,-88.4038580158853,-20.71439612042137,NO,0.0
19.25489330291748,2001000000.0,-91.26396289008653,-20.71500015730745,NO,0.0
19.473134517669678,2001000000.0,-90.10895862959076,-20.716088114857865,NO,0.0
19.7107515335083,2001000000.0,-90.00624433868943,-20.7139334937203,NO,0.0
19.939841985702515,2001000000.0,-92.04548531274811,-20.717268996215054,NO,0.0
20.169260263442993,2001000000.0,-91.15670466858566,-20.715185157624507,NO,0.0
20.3959641456604,2001000000.0,-90.25194716253203,-20.71321987759336,NO,0.0
20.61769437789917,2001000000.0,-88.19155564653428,-20.71501223807416,NO,0.0
20.843143224716187,2001000000.0,-88.13306154681173,-20.71665809649857,NO,0.0
21.07052755355835,2001000000.0,-88.28694620305052,-20.715108249628354,NO,0.0
21.294255018234253,2001000000.0,-89.3056813021015,-20.717860997491172,NO,0.0
21.52467393875122,2001000000.0,-89.8308274221466,-20.715534886954856,NO,0.0
21.75515651702881,2001000000.0,-89.21980647178967,-20.715459457824814,NO,0.0
21.97225046157837,2001000000.0,-91.3563627612186,-20.715149095786053,NO,0.0
