Elapsed Time (s),Frequency (Hz),S11 (dB),S21 (dB),OBJ,Height (m)
0.22000718116760254,2000000000.0,-41.22082726561787,-8.7589711230656,NO,0.0
0.4438436031341553,2000000000.0,-41.1556962092308,-12.014687659345809,NO,0.0
0.6662213802337646,2000000000.0,-42.52895020362985,-10.124645153984702,NO,0.0
0.891045093536377,2000000000.0,-42.409226921560624,-8.728782385206861,NO,0.0
1.116074800491333,2000000000.0,-42.29814833993268,-9.184334549051696,NO,0.0
1.3375873565673828,2000000000.0,-40.52074124594363,-8.637962584946754,NO,0.0
1.5605683326721191,2000000000.0,-41.38830277619732,-9.917553834025503,NO,0.0
1.7779266834259033,2000000000.0,-45.38307328481497,-9.14338838235281,NO,0.0
1.9986441135406494,2000000000.0,-41.91063184244925,-10.382600729868784,NO,0.0
2.2205450534820557,2000000000.0,-44.715481800663966,-9.879244889805108,NO,0.0
2.4517934322357178,2000000000.0,-46.65211912184431,-8.663729402283408,NO,0.0
2.6666653156280518,2000000000.0,-44.92605507376081,-6.732668309324947,NO,0.0
2.8928489685058594,2000000000.0,-45.43175390481851,-7.663973623618451,NO,0.0
3.1197166442871094,2000000000.0,-44.58218657787323,-8.799309417667123,NO,0.0
3.3451380729675293,2000000000.0,-45.17822213042954,-7.927188144479355,NO,0.0
3.566673517227173,2000000000.0,-45.193015929648936,-8.302789539249751,NO,0.0
3.788259983062744,2000000000.0,-45.20994507805532,-12.438490172600199,NO,0.0
4.011368036270142,2000000000.0,-45.418706772377945,-10.89573318835824,NO,0.0
4.2494916915893555,2000000000.0,-45.576295893972485,-10.397862105804588,NO,0.0
4.462686061859131,2000000000.0,-45.868531090159564,-17.56251748437339,NO,0.0
4.680526971817017,2000000000.0,-45.626877874377115,-17.496091776586947,NO,0.0
4.9123804569244385,2000000000.0,-45.64111261833812,-19.469984895605606,NO,0.0
5.151715278625488,2000000000.0,-45.35482151725266,-22.357108686377998,NO,0.0
5.366732835769653,2000000000.0,-45.23040483096325,-14.754605035568602,NO,0.0
5.586085319519043,2000000000.0,-46.624816593301574,-7.885850835543606,NO,0.0
5.81229829788208,2000000000.0,-46.77687073914483,-11.46870697690221,NO,0.0
6.0353922843933105,2000000000.0,-44.82102440315958,-18.246482963866196,NO,0.0
6.260558843612671,2000000000.0,-44.52568549243072,-11.49348098375496,NO,0.0
6.489897727966309,2000000000.0,-44.245795831229636,-12.309655665580854,NO,0.0
6.711890697479248,2000000000.0,-44.14850389679227,-13.534571233692073,NO,0.0
6.930629730224609,2000000000.0,-44.817235331967744,-21.741100317200342,NO,0.0
7.154550313949585,2000000000.0,-45.20289293697502,-15.690511790224521,NO,0.0
7.37827205657959,2000000000.0,-44.869969873580196,-7.167026496527442,NO,0.0
7.605029106140137,2000000000.0,-44.08636231088217,-6.861447508979826,NO,0.0
7.818614959716797,2000000000.0,-44.488474379615525,-6.758231612677246,NO,0.0
8.045399904251099,2000000000.0,-44.51305930926833,-6.6583216064952,NO,0.0
8.280105829238892,2000000000.0,-44.315130673559835,-6.609604807823621,NO,0.0
8.508692264556885,2000000000.0,-44.270527707349956,-6.652602946852158,NO,0.0
8.722341775894165,2000000000.0,-44.30694598945556,-6.858999489995905,NO,0.0
8.952531099319458,2000000000.0,-44.24246496664629,-7.137970408141641,NO,0.0
9.164027214050293,2000000000.0,-44.18807427316183,-6.864434117187104,NO,0.0
9.393179178237915,2000000000.0,-44.252776263443,-6.878202212834092,NO,0.0
9.618889808654785,2000000000.0,-44.49228082999522,-6.97633093887855,NO,0.0
9.843695402145386,2000000000.0,-44.610612404663854,-7.019984879806495,NO,0.0
10.055587530136108,2000000000.0,-44.763961688529264,-7.176507991551501,NO,0.0
10.269322633743286,2000000000.0,-44.87990612975306,-7.84290507456535,NO,0.0
10.502341032028198,2000000000.0,-45.000993078561265,-8.109346975518278,NO,0.0
10.714425325393677,2000000000.0,-45.08520194426222,-7.848599352113954,NO,0.0
10.943878173828125,2000000000.0,-44.99783528275874,-7.619924581171015,NO,0.0
11.166797161102295,2000000000.0,-44.9856890280973,-7.486178149018866,NO,0.0
11.404587507247925,2000000000.0,-45.04402080653489,-7.798519684417988,NO,0.0
11.616832971572876,2000000000.0,-44.94715050319512,-8.102150366520137,NO,0.0
11.84355878829956,2000000000.0,-45.116132826795024,-8.278054387084877,NO,0.0
12.057321310043335,2000000000.0,-45.04407880536216,-7.895289315893703,NO,0.0
12.274486064910889,2000000000.0,-44.635641775181234,-7.398075657446595,NO,0.0
12.498738527297974,2000000000.0,-43.843778403005416,-7.448014105417492,NO,0.0
12.712994813919067,2000000000.0,-43.615428283158366,-8.015286950846344,NO,0.0
12.931756973266602,2000000000.0,-44.86789230175578,-7.978160275959243,NO,0.0
13.157226800918579,2000000000.0,-46.10971143724427,-14.369809199811678,NO,0.0
13.367710828781128,2000000000.0,-45.26507955536481,-19.944426988494207,NO,0.0
13.604600191116333,2000000000.0,-44.8093704948242,-11.387331200870845,NO,0.0
13.823930501937866,2000000000.0,-44.42634000585761,-10.519445508629449,NO,0.0
14.050967454910278,2000000000.0,-43.94221107479517,-16.009229435257883,NO,0.0
14.27439570426941,2000000000.0,-43.425297203450114,-25.38283322867376,NO,0.0
14.507986545562744,2000000000.0,-44.295665394547484,-16.830429759097733,NO,0.0
14.729570388793945,2000000000.0,-45.677156842174995,-18.933506635196938,NO,0.0
14.965537071228027,2000000000.0,-46.16734426963173,-17.154854024073064,NO,0.0
15.189762830734253,2000000000.0,-46.058669200531966,-15.869059312777933,NO,0.0
15.415777921676636,2000000000.0,-45.893819195352776,-16.201480393045166,NO,0.0
15.64393424987793,2000000000.0,-45.80314984027766,-19.196433335041508,NO,0.0
15.858620643615723,2000000000.0,-45.724443134703414,-20.434660886707587,NO,0.0
16.08581304550171,2000000000.0,-45.39192928525668,-20.408666059324986,NO,0.0
16.31562089920044,2000000000.0,-44.90556754297407,-20.111419160105047,NO,0.0
16.549389600753784,2000000000.0,-44.69836078838506,-16.14456368856181,NO,0.0
16.762537240982056,2000000000.0,-44.05755858035438,-18.421180737446633,NO,0.0
16.979843854904175,2000000000.0,-43.696785354501955,-16.677858158303017,NO,0.0
17.199294090270996,2000000000.0,-43.79779414964402,-24.926851781322913,NO,0.0
17.42620325088501,2000000000.0,-44.15595680758835,-28.58829933144814,NO,0.0
17.665611743927002,2000000000.0,-44.308667781433435,-11.579383063410766,NO,0.0
17.89632296562195,2000000000.0,-46.157841677288246,-8.994746522495939,NO,0.0
18.11812663078308,2000000000.0,-47.48910928567689,-11.50040842415642,NO,0.0
18.346678256988525,2000000000.0,-47.809424804896025,-11.217384112750462,NO,0.0
18.560052394866943,2000000000.0,-47.909253573946906,-8.39820990405215,NO,0.0
18.790728330612183,2000000000.0,-48.10823124359652,-8.07290928279076,NO,0.0
19.015787363052368,2000000000.0,-46.8996230291752,-8.812276689927787,NO,0.0
19.244544982910156,2000000000.0,-47.9097544558902,-8.466295149432876,NO,0.0
19.470030069351196,2000000000.0,-47.57170827666297,-9.216265868628218,NO,0.0
19.702411890029907,2000000000.0,-46.029209149160565,-8.555699344281582,NO,0.0
19.91582465171814,2000000000.0,-45.41246486769707,-7.978770688265257,NO,0.0
20.137901067733765,2000000000.0,-46.1216761862125,-8.756413967673476,NO,0.0
20.351969957351685,2000000000.0,-47.0173882800798,-11.242569671094468,NO,0.0
20.56531596183777,2000000000.0,-47.46241426783456,-11.510737936346072,NO,0.0
20.785225868225098,2000000000.0,-46.82846782013591,-8.619940811441317,NO,0.0
21.008859872817993,2000000000.0,-46.43282609067146,-8.51259625907367,NO,0.0
21.230472803115845,2000000000.0,-46.191129985095515,-9.904174600083536,NO,0.0
21.463331699371338,2000000000.0,-45.96239727012034,-14.338551142425382,NO,0.0
21.689467668533325,2000000000.0,-45.95547326099316,-18.270393766953923,NO,0.0
21.902090072631836,2000000000.0,-46.37776611848348,-18.074315777672783,NO,0.0
22.115334033966064,2000000000.0,-46.16702283484541,-20.05141240224267,NO,0.0
22.343306064605713,2000000000.0,-46.41031230442724,-21.39408774847743,NO,0.0
22.569305658340454,2000000000.0,-47.050130342449805,-15.621575485890622,NO,0.0
22.799230575561523,2000000000.0,-47.250699662129854,-13.429435789936885,NO,0.0
23.01406216621399,2000000000.0,-47.31300733159404,-13.319081727321546,NO,0.0
23.239025831222534,2000000000.0,-47.2477875999937,-13.32132647539687,NO,0.0
23.45460820198059,2000000000.0,-46.93734733337541,-15.553350986060428,NO,0.0
23.667794942855835,2000000000.0,-46.74744564164753,-18.017984988676485,NO,0.0
23.903703689575195,2000000000.0,-46.49608056018964,-19.49244986736716,NO,0.0
24.12933874130249,2000000000.0,-46.18986437029439,-27.032959263790936,NO,0.0
24.3561372756958,2000000000.0,-45.40110974851861,-12.572441805353447,NO,0.0
24.57428765296936,2000000000.0,-44.44678369709736,-12.777088674859229,NO,0.0
24.804468631744385,2000000000.0,-44.20485930047012,-9.702926450533049,NO,0.0
25.0185866355896,2000000000.0,-45.22053974761295,-9.930656885774846,NO,0.0
25.248343467712402,2000000000.0,-47.971094092551205,-9.044474319743408,NO,0.0
25.461916208267212,2000000000.0,-46.405036376980746,-10.481792768294163,NO,0.0
25.683523178100586,2000000000.0,-46.142754719848355,-10.730485414749788,NO,0.0
25.906599283218384,2000000000.0,-46.957658692376384,-8.950726968525194,NO,0.0
26.12751007080078,2000000000.0,-45.966274609882916,-8.29986599181156,NO,0.0
26.3414089679718,2000000000.0,-45.45105715553209,-8.54740826979901,NO,0.0
26.55371332168579,2000000000.0,-45.361222124151354,-20.344686574981004,NO,0.0
