Elapsed Time (s),Frequency (Hz),S11 (dB),S21 (dB),OBJ,Height (m)
0.6039907932281494,2200000000.0,-36.042664269078976,-4.1167473084079385,YES,1.3
1.117713451385498,2200000000.0,-36.042726553664615,-4.097174926744164,YES,1.3
1.6337790489196777,2200000000.0,-36.0459259715788,-4.100587139047856,YES,1.3
2.1584930419921875,2200000000.0,-36.285815714658135,-4.552935684752066,YES,1.3
2.6717872619628906,2200000000.0,-36.17144016868346,-4.452100294183882,YES,1.3
3.1886651515960693,2200000000.0,-36.21112604956323,-4.357861851009281,YES,1.3
3.7088351249694824,2200000000.0,-36.17183699513682,-4.318998937139898,YES,1.3
4.247734785079956,2200000000.0,-36.155149019286654,-4.320643374828509,YES,1.3
4.759848356246948,2200000000.0,-36.08000917949879,-4.465633451547218,YES,1.3
5.309815168380737,2200000000.0,-36.18465386435289,-4.326823628105043,YES,1.3
5.932559251785278,2200000000.0,-36.12465189476541,-4.305188274161312,YES,1.3
6.521510124206543,2200000000.0,-36.146754608861265,-4.32340683782035,YES,1.3
6.9770331382751465,2200000000.0,-36.148572262842364,-4.333051251020491,YES,1.3
7.399653434753418,2200000000.0,-36.03346846670787,-4.336188429430247,YES,1.3
7.824027061462402,2200000000.0,-36.06901020598295,-4.322766999992761,YES,1.3
8.247635841369629,2200000000.0,-36.08034287900963,-4.32143098179192,YES,1.3
8.825552701950073,2200000000.0,-36.09745462548972,-4.3380137303511495,YES,1.3
9.373215675354004,2200000000.0,-36.12520081889811,-4.313104613826174,YES,1.3
9.926883220672607,2200000000.0,-36.13661042546432,-4.328771808849502,YES,1.3
10.517709493637085,2200000000.0,-36.14083655476111,-4.3690101856309065,YES,1.3
11.065031290054321,2200000000.0,-36.10987945427342,-4.357328379911963,YES,1.3
11.559728145599365,2200000000.0,-36.08650657479869,-4.350205265523674,YES,1.3
12.113697528839111,2200000000.0,-36.10596990052195,-4.3602661227963475,YES,1.3
12.685122728347778,2200000000.0,-36.04080162571154,-4.4178191267179505,YES,1.3
13.33418869972229,2200000000.0,-36.1150902039965,-4.343893723356456,YES,1.3
14.092171669006348,2200000000.0,-36.11692120862577,-4.34240871176463,YES,1.3
14.785842657089233,2200000000.0,-36.11769706490466,-4.329584291010264,YES,1.3
15.434370994567871,2200000000.0,-36.116690845662085,-4.342657031822908,YES,1.3
16.039008140563965,2200000000.0,-36.13207773703839,-4.345247554519266,YES,1.3
16.730043172836304,2200000000.0,-36.09914471724693,-4.342691414640362,YES,1.3
17.430649995803833,2200000000.0,-36.13768851552471,-4.3493943314820545,YES,1.3
18.0530788898468,2200000000.0,-36.149453682972535,-4.339840687276011,YES,1.3
18.780569791793823,2200000000.0,-36.11523002748747,-4.344137550491949,YES,1.3
19.33576536178589,2200000000.0,-36.14615741069,-4.3475625917051754,YES,1.3
19.994937419891357,2200000000.0,-36.15345798155939,-4.350252254878585,YES,1.3
20.54533624649048,2200000000.0,-36.26187301705698,-4.697792846626529,YES,1.3
21.105637073516846,2200000000.0,-36.17051752997169,-4.136838835578642,YES,1.3
21.68350052833557,2200000000.0,-36.58812970116077,-4.418253245558216,YES,1.3
22.20792031288147,2200000000.0,-36.61719924760909,-4.427796590236482,YES,1.3
22.79447889328003,2200000000.0,-36.636353932940054,-4.450996070086719,YES,1.3
23.321266889572144,2200000000.0,-36.61700839193024,-4.4569316415877545,YES,1.3
23.90246820449829,2200000000.0,-36.59233902067917,-4.468249534037577,YES,1.3
24.47619652748108,2200000000.0,-36.6145376095582,-4.471852813526232,YES,1.3
25.00559639930725,2200000000.0,-36.590255714772816,-4.474004367907489,YES,1.3
25.543676137924194,2200000000.0,-36.59182615925723,-4.442351302667891,YES,1.3
26.09378147125244,2200000000.0,-36.44268223807909,-4.5371360854590055,YES,1.3
26.6182279586792,2200000000.0,-36.530526184863135,-4.487962454965764,YES,1.3
27.144638061523438,2200000000.0,-36.55486610366851,-4.467868979750329,YES,1.3
27.698153257369995,2200000000.0,-36.580605936537424,-4.470688971158748,YES,1.3
28.21005654335022,2200000000.0,-36.5800528707048,-4.464835517738718,YES,1.3
28.74737000465393,2200000000.0,-36.54708578298034,-4.458534688138911,YES,1.3
29.26133131980896,2200000000.0,-36.57025308245802,-4.457187459123867,YES,1.3
29.79381489753723,2200000000.0,-36.56242233048764,-4.4632776666000336,YES,1.3
30.319889068603516,2200000000.0,-36.551904340465086,-4.475796920126756,YES,1.3
30.84615421295166,2200000000.0,-36.58353473476997,-4.458664263927937,YES,1.3
31.361701250076294,2200000000.0,-36.5695458174743,-4.4609231233902715,YES,1.3
31.88113260269165,2200000000.0,-36.57408300262509,-4.451391926035402,YES,1.3
32.40636205673218,2200000000.0,-36.58861207183958,-4.461372886550295,YES,1.3
32.931010484695435,2200000000.0,-36.58551983563613,-4.468603094475757,YES,1.3
33.43693256378174,2200000000.0,-36.47225293427714,-4.662822917106807,YES,1.3
33.934746980667114,2200000000.0,-36.45025351421988,-4.657904656714576,YES,1.3
34.438971519470215,2200000000.0,-36.44816912728496,-4.676372110222925,YES,1.3
34.948638916015625,2200000000.0,-36.478647695483126,-4.685312989948121,YES,1.3
35.480045318603516,2200000000.0,-36.44341188774145,-4.741816215211782,YES,1.3
35.997854709625244,2200000000.0,-36.51627779735626,-4.599074091139432,YES,1.3
36.52605843544006,2200000000.0,-36.4646874053752,-4.677183560449834,YES,1.3
37.04172420501709,2200000000.0,-36.392122813458826,-4.710365598153908,YES,1.3
37.55888557434082,2200000000.0,-36.43002841050185,-4.658766908121881,YES,1.3
38.06920099258423,2200000000.0,-36.41401627027241,-4.580086092317095,YES,1.3
38.58184576034546,2200000000.0,-36.44698782936569,-4.7049709327484015,YES,1.3
39.10230851173401,2200000000.0,-36.38043872958804,-4.6774581064142,YES,1.3
39.63309144973755,2200000000.0,-36.386618444630194,-4.698181424469993,YES,1.3
40.16757535934448,2200000000.0,-36.28136726842593,-4.678602056728541,YES,1.3
40.69667148590088,2200000000.0,-36.37590241383725,-4.713741398364123,YES,1.3
41.21733474731445,2200000000.0,-36.42117682120086,-4.602378611286404,YES,1.3
41.73627948760986,2200000000.0,-36.418524639075514,-4.597739348421305,YES,1.3
42.26871991157532,2200000000.0,-36.41207059678724,-4.575056233794594,YES,1.3
42.78793978691101,2200000000.0,-36.41780632683099,-4.568331587381838,YES,1.3
43.323142766952515,2200000000.0,-36.41522149246929,-4.558364626183742,YES,1.3
43.858513832092285,2200000000.0,-36.39866719409302,-4.542525900980819,YES,1.3
44.40546989440918,2200000000.0,-36.41575611487957,-4.53602860198313,YES,1.3
44.95394682884216,2200000000.0,-36.39854140952539,-4.532427461532269,YES,1.3
45.50302076339722,2200000000.0,-36.4065006097094,-4.532771857339021,YES,1.3
46.01799964904785,2200000000.0,-36.405551328767174,-4.522158719146015,YES,1.3
46.53074860572815,2200000000.0,-36.43278335947678,-4.523028057903657,YES,1.3
47.06080389022827,2200000000.0,-36.42455431475727,-4.537109278163551,YES,1.3
47.59140086174011,2200000000.0,-36.37663904944693,-4.562249236040133,YES,1.3
48.128379106521606,2200000000.0,-36.41069313342088,-4.556296523414249,YES,1.3
48.64403462409973,2200000000.0,-36.40761025211293,-4.5464606849517555,YES,1.3
49.18424963951111,2200000000.0,-36.395800539701526,-4.548858894268283,YES,1.3
49.703293800354004,2200000000.0,-36.404969610716606,-4.573023611552015,YES,1.3
50.226746797561646,2200000000.0,-36.34287785544395,-4.630951045441991,YES,1.3
50.754491329193115,2200000000.0,-36.35957877914787,-4.501521444826843,YES,1.3
51.26396632194519,2200000000.0,-36.41953656497992,-4.5378140747904885,YES,1.3
51.769948959350586,2200000000.0,-36.33637120546326,-4.514433317475394,YES,1.3
52.28079152107239,2200000000.0,-36.38178626197956,-4.489846079235344,YES,1.3
52.827049016952515,2200000000.0,-36.40174422983676,-4.548877260711813,YES,1.3
53.35464525222778,2200000000.0,-36.4249551477586,-4.557298380297781,YES,1.3
53.872493505477905,2200000000.0,-36.39295079574899,-4.5648775581905,YES,1.3
54.382721185684204,2200000000.0,-36.41391321455852,-4.565804097344647,YES,1.3
54.908628702163696,2200000000.0,-36.428773591630986,-4.559335402940425,YES,1.3
55.44475769996643,2200000000.0,-36.40900377776553,-4.554640203793499,YES,1.3
55.953205823898315,2200000000.0,-36.425629990045735,-4.555303899937698,YES,1.3
56.47362947463989,2200000000.0,-36.40920738420188,-4.537593089374155,YES,1.3
56.97839713096619,2200000000.0,-36.4512291357563,-4.567193227298356,YES,1.3
57.504711866378784,2200000000.0,-36.39807071121884,-4.624583783255137,YES,1.3
58.015217304229736,2200000000.0,-36.41333365507057,-4.570210358622093,YES,1.3
58.56195783615112,2200000000.0,-36.41228629373894,-4.500756365676926,YES,1.3
59.06571102142334,2200000000.0,-36.45271116894754,-4.604879899372108,YES,1.3
59.583582401275635,2200000000.0,-36.37661328119362,-4.562279583084415,YES,1.3
60.114471435546875,2200000000.0,-36.38349493022551,-4.51637325277563,YES,1.3
60.638803482055664,2200000000.0,-36.41151321135351,-4.558858132068452,YES,1.3
61.146437644958496,2200000000.0,-36.410334883866724,-4.546890169171455,YES,1.3
61.67200589179993,2200000000.0,-36.425270942780436,-4.538448569201644,YES,1.3
62.185834646224976,2200000000.0,-36.433464404952645,-4.537615165143909,YES,1.3
62.69448900222778,2200000000.0,-36.42155553415784,-4.5049511859968625,YES,1.3
63.202892780303955,2200000000.0,-36.37209639529956,-4.3606184254619675,YES,1.3
63.70990705490112,2200000000.0,-36.37120398299397,-4.478745399789188,YES,1.3
64.21387696266174,2200000000.0,-36.38130374603419,-4.413778029281951,YES,1.3
64.74139356613159,2200000000.0,-36.37564059621249,-4.486926775779362,YES,1.3
65.26836252212524,2200000000.0,-36.3963652587044,-4.479141976620053,YES,1.3
65.77408695220947,2200000000.0,-36.41900557870839,-4.508869396004299,YES,1.3
66.29901623725891,2200000000.0,-36.40870875306258,-4.515171804897673,YES,1.3
66.81862616539001,2200000000.0,-36.415862162115644,-4.520366820938907,YES,1.3
67.34185194969177,2200000000.0,-36.427215760934416,-4.510663674157008,YES,1.3
67.85978698730469,2200000000.0,-36.42790176257431,-4.511498058780509,YES,1.3
68.397775888443,2200000000.0,-36.446725062308886,-4.527924622468832,YES,1.3
68.95353817939758,2200000000.0,-36.446641216093454,-4.53290096456029,YES,1.3
69.49398922920227,2200000000.0,-36.44792303175177,-4.540647402900298,YES,1.3
70.0110445022583,2200000000.0,-36.464125731516376,-4.53441059573762,YES,1.3
70.53338718414307,2200000000.0,-36.46066709315241,-4.53754895221172,YES,1.3
71.0612244606018,2200000000.0,-36.455884758711,-4.543592512478252,YES,1.3
71.57938480377197,2200000000.0,-36.48711299272668,-4.679727887754076,YES,1.3
72.12970805168152,2200000000.0,-36.43785427931871,-4.654314993050684,YES,1.3
72.64867758750916,2200000000.0,-36.405725895788756,-4.4926345386197015,YES,1.3
73.15542697906494,2200000000.0,-36.360453546779794,-4.766909792925584,YES,1.3
73.68446183204651,2200000000.0,-36.36316233064049,-4.805288403480137,YES,1.3
74.20624256134033,2200000000.0,-36.390580172182126,-4.6866469113937175,YES,1.3
74.76888298988342,2200000000.0,-36.44934164922145,-4.577114798929481,YES,1.3
75.3436951637268,2200000000.0,-36.47313765400083,-4.514078126303727,YES,1.3
75.84780621528625,2200000000.0,-36.461435528350975,-4.490631014233066,YES,1.3
76.35966324806213,2200000000.0,-36.50841058927978,-4.523508231607778,YES,1.3
76.90849256515503,2200000000.0,-36.494010595778576,-4.534568880260784,YES,1.3
77.50645041465759,2200000000.0,-36.49256791055229,-4.5361433471457335,YES,1.3
78.00910782814026,2200000000.0,-36.50445716278504,-4.542581028959537,YES,1.3
78.60328722000122,2200000000.0,-36.51066736428157,-4.554980505620581,YES,1.3
79.13861799240112,2200000000.0,-36.48086440891931,-4.601433239335447,YES,1.3
79.70353507995605,2200000000.0,-36.503519323605616,-4.58781231601897,YES,1.3
